path,line,kind,lexical_guards,text
overlay/XProcess/XProc_MainGame.cpp,12,GM,#ifdef _XGMCLIENT,#ifdef _XGMCLIENT
overlay/XProcess/XProc_MainGame.cpp,27,GM,#if !defined(_XDWDEBUG) && !defined(_XADMINISTRATORMODE) && !defined(_DEBUG) && !defined(_XGMCLIENT),#if !defined(_XDWDEBUG) && !defined(_XADMINISTRATORMODE) && !defined(_DEBUG) && !defined(_XGMCLIENT)
overlay/XProcess/XProc_MainGame.cpp,160,master/disciple,,"#include ""XWindow_NPCMnDInfo.h"" //Author : 양희왕 //breif :사제 시스템"
overlay/XProcess/XProc_MainGame.cpp,161,master/disciple,,"#include ""XWindow_MnDTotalPoint.h"" //Author : 양희왕 //breif :사제 시스템"
overlay/XProcess/XProc_MainGame.cpp,162,master/disciple,,"#include ""XWindow_MnDCurrentPoint.h"" //Author : 양희왕 //breif :사제 시스템"
overlay/XProcess/XProc_MainGame.cpp,165,GM,,"#include ""XWindow_GMCommand.h"""
overlay/XProcess/XProc_MainGame.cpp,166,GM,,"#include ""XWindow_GM_SendNoticeMessage.h"""
overlay/XProcess/XProc_MainGame.cpp,2148,GM,#ifdef _ACCLAIM_RUBICONADSYSTEM && #ifdef _XGMCLIENT,#ifdef _XGMCLIENT
overlay/XProcess/XProc_MainGame.cpp,2149,GM,#ifdef _ACCLAIM_RUBICONADSYSTEM && #ifdef _XGMCLIENT,_XWindow_GMCommand* pGMCommandWindow = (_XWindow_GMCommand*)g_MainWindowManager.FindWindow(_XDEF_WTITLE_GMWINDOW);
overlay/XProcess/XProc_MainGame.cpp,3329,GM,,_XWindow_GMCommand* pGMCommandWindow = (_XWindow_GMCommand*)g_MainWindowManager.FindWindow(_XDEF_WTITLE_GMWINDOW);
overlay/XProcess/XProc_MainGame.cpp,3360,GM,#ifdef _XGMCLIENT,#ifdef _XGMCLIENT
overlay/XProcess/XProc_MainGame.cpp,3376,GM,#ifdef _XGMCLIENT,#ifdef _XGMCLIENT
overlay/XProcess/XProc_MainGame.cpp,3990,GM,#ifdef _XGMCLIENT,#ifdef _XGMCLIENT
overlay/XProcess/XProc_MainGame.cpp,5356,GM,#else && #ifdef _XGMCLIENT,#ifdef _XGMCLIENT
overlay/XProcess/XProc_MainGame.cpp,5629,GM,#ifdef _XGMCLIENT,#ifdef _XGMCLIENT
overlay/XProcess/XProc_MainGame.cpp,5661,GM,#ifdef _XGMCLIENT,#ifdef _XGMCLIENT
