macro,overlay_occurrences,defined_in_merged_source,defined_by_us_release,definition_paths
_ACCLAIM_IGAADSYSTEM,27,no,no,
_ACCLAIM_RUBICONADSYSTEM,10,no,yes,
_ACCLAIM_VERSION,1,no,yes,
_DEBUG,5,no,no,
_FMODDYN_H_,1,yes,no,Library/FMod/fmoddyn.h
_FMOD_ERRORS_H,1,yes,no,Library/FMod/fmod_errors.h
_FMOD_H_,1,yes,no,Library/FMod/fmod.h
_MSC_VER,5,no,no,
_UNICODE,5,yes,no,XControl/XHTMLWrapper.h
_WIN32,8,yes,no,Library/BinkSDK/radbase.h
_WIN32_WCE,2,no,no,
_WIN64,6,no,no,
_WINDOWS,2,yes,yes,Library/BinkSDK/radbase.h
_WINDOWS_,1,no,no,
_XADMINISTRATORMODE,9,no,no,
_XBOX,8,no,no,
_XBOX_VER,5,no,no,
_XCHECKMEMORYUSAGE,8,no,no,
_XDEF_AGEGRADE_070607_MAGVIPER,5,yes,no,XKernel/XKernel.h
_XDEF_BLOCK_MOVINGATTACK,3,yes,no,XKernel/XKernel.h
_XDEF_BW_WAR_ENTER_GATE_080317_KUKURI,1,yes,no,XKernel/XKernel.h
_XDEF_CASHBACKPACK_080404_MAGVIPER,9,yes,no,XKernel/XKernel.h
_XDEF_CASHITEM_SHOUT,6,yes,no,XKernel/XKernel.h
_XDEF_CASTLEBATTLE,6,yes,no,XKernel/XKernel.h
_XDEF_CASTLEBATTLE_RECORD,2,yes,no,XKernel/XKernel.h
_XDEF_CB_SCHEDULE_RENEWAL_071211_KUKURI,2,yes,no,XKernel/XKernel.h
_XDEF_DETECTSPEEDHACK,1,no,no,
_XDEF_ESCAPE_20070205,8,yes,no,XKernel/XKernel.h
_XDEF_EVENTWINDOW,6,yes,no,XKernel/XKernel.h
_XDEF_EVENTWINDOW_WEBPAGE_20070214,1,no,no,
_XDEF_EVENT_ADD_HYPERRUN_080417_KUKURI,3,yes,no,XKernel/XKernel.h
_XDEF_EVENT_RENEWAL_080201_MAGVIPER,3,yes,no,XKernel/XKernel.h
