source,include,resolved_path,status,gm_named
Library/BinkSDK/bink.h,radbase.h,Library/BinkSDK/radbase.h,resolved,no
Library/BinkSDK/binktextures.h,bink.h,Library/BinkSDK/bink.h,resolved,no
Library/BinkSDK/dx9rad3d.cpp,stdafx.h,StdAfx.h,resolved,no
Library/BinkSDK/dx9rad3d.cpp,rad3d.h,Library/BinkSDK/rad3d.h,resolved,no
Library/BinkSDK/rad3d.h,radbase.h,Library/BinkSDK/radbase.h,resolved,no
Library/FMod/fmoddyn.h,fmod.h,Library/FMod/fmod.h,resolved,no
Library/radsdk/radsdk_ll.h,radsdk.h,Library/radsdk/radsdk.h,resolved,no
XProcess/XProc_MainGame.cpp,stdafx.h,StdAfx.h,resolved,no
XProcess/XProc_MainGame.cpp,XKernel.h,XKernel/XKernel.h,resolved,no
XProcess/XProc_MainGame.cpp,EODEXTDEF_GlobalObject.h,XProcess/EODEXTDEF_GlobalObject.h,resolved,no
XProcess/XProc_MainGame.cpp,EmperorOfDragons.h,EmperorOfDragons.h,resolved,no
XProcess/XProc_MainGame.cpp,XProc_ProcessDefine.h,XProcess/XProc_ProcessDefine.h,resolved,no
XProcess/XProc_MainGame.cpp,XProc_MainGame.h,XProcess/XProc_MainGame.h,resolved,no
XProcess/XProc_MainGame.cpp,XMeshContainer.h,MeshControl/XMeshContainer.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_QuickSlot.h,XProcess/XWindow_QuickSlot.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_ChattingDefault.h,XProcess/XWindow_ChattingDefault.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_Option.h,XProcess/XWindow_Option.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_OptionSound.h,XProcess/XWindow_OptionSound.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_NPCScript.h,XProcess/XWindow_NPCScript.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_PCTrade.h,XProcess/XWindow_PCTrade.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_Debug.h,XProcess/XWindow_Debug.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_ZoneName.h,XProcess/XWindow_ZoneName.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_Party.h,XProcess/XWindow_Party.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_PartyMemberMiniBar.h,XProcess/XWindow_PartyMemberMiniBar.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_PartyMasterMiniBar.h,XProcess/XWindow_PartyMasterMiniBar.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_Skill.h,XProcess/XWindow_Skill.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_RequestParty.h,XProcess/XWindow_RequestParty.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_NPCTrade.h,XProcess/XWindow_NPCTrade.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_TradeConfirm.h,XProcess/XWindow_TradeConfirm.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_AdminNotice.h,XProcess/XWindow_AdminNotice.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_ChargeGauge.h,XProcess/XWindow_ChargeGauge.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_AddSaveItem.h,XProcess/XWindow_AddSaveItem.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_Warehouse.h,XProcess/XWindow_Warehouse.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_MaximumMap.h,XProcess/XWindow_MaximumMap.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_ChattingDefault.h,XProcess/XWindow_ChattingDefault.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_SystemMsgDefault.h,XProcess/XWindow_SystemMsgDefault.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_MainMenu.h,XProcess/XWindow_MainMenu.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_Messenger.h,XProcess/XWindow_Messenger.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_MessengerDialog.h,XProcess/XWindow_MessengerDialog.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_MessengerTooltip.h,XProcess/XWindow_MessengerTooltip.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_Email.h,XProcess/XWindow_Email.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_JinStatus.h,XProcess/XWindow_JinStatus.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_MonsterStatus.h,XProcess/XWindow_MonsterStatus.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_NPCSkill.h,XProcess/XWindow_NPCSkill.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_Rebirth.h,XProcess/XWindow_Rebirth.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_RepairItem.h,XProcess/XWindow_RepairItem.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_TradeConfirm.h,XProcess/XWindow_TradeConfirm.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_NameInput.h,XProcess/XWindow_NameInput.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_TrainingMed.h,XProcess/XWindow_TrainingMed.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_TrainingDummy.h,XProcess/XWindow_TrainingDummy.h,resolved,no
XProcess/XProc_MainGame.cpp,XWindow_TrainingSpell.h,XProcess/xwindow_trainingspell.h,resolved,no
