path,size,sha256,classification
gm/XProcess/XWindow_GMCommand.cpp,7028,476b26166eb223e44afb31c3a49a11cb2e185f40d4be3cd6c2bf523a85597e31,GM structural reference
gm/XProcess/XWindow_GMCommand.h,1392,568cb49e3d42a30584a313eb6e71d0af4599c1c9582edc9a86ee4f7b34601cc1,GM structural reference
gm/XProcess/XWindow_GM_EventManager.cpp,7004,b8d1660fb709793ee65fdf9117c3f5362b4e5a3265a01bbe6ee26b1b5a1cbc61,GM structural reference
gm/XProcess/XWindow_GM_EventManager.h,957,c68dbf6ac042d491a14ba68e4655e764aeaa07f254539829f4e4119bb672782f,GM structural reference
gm/XProcess/XWindow_GM_MonsterManage.cpp,9221,595cfe577077aa3f1302eb70598c31b564637410068f3cccefdc05c0bfe3f6e6,GM structural reference
gm/XProcess/XWindow_GM_MonsterManage.h,1103,c4a00a97b23ba5147c88688af732d63e9105114588b0e17bf99a68066b3de031,GM structural reference
gm/XProcess/XWindow_GM_SendNoticeMessage.cpp,17834,532fda53243bc5e16644b80508dbf7cb216411c318a54243662797029a394e0c,GM structural reference
gm/XProcess/XWindow_GM_SendNoticeMessage.h,1301,0ca20d5fa8c2d7a0d2ef0764b35fb959beacd4c82a572eb09ffb6d2445b92126,GM structural reference
gm/XProcess/XWindow_GM_StatusControl.cpp,12162,2d4b38e24c7004e891d9f8a0970e1e9a7c0627aa9b9ea1396001c8b33f6bd7a4,GM structural reference
gm/XProcess/XWindow_GM_StatusControl.h,1012,eeac321d08fa440d309142e4394182a47bd3820efeb304f7675ae5fa57108b5e,GM structural reference
gm/XProcess/XWindow_GM_UserCoordination.cpp,12049,ca664bcc75b7525ad809e1d7bacfc5fb6456fce3fec7ee859da250ddd17dbbe4,GM structural reference
gm/XProcess/XWindow_GM_UserCoordination.h,1297,c32f5185b935625781e07e532aa578e79c0f207c3f7bfff20996f128898b9bb9,GM structural reference
removed-features/Network/XNetwork_MasternDisciple.cpp,21130,0420337e1ba488ce56a19e26163d0ad5a4f886cb9596317433d1758f899e5fd7,deliberately removed feature reference
removed-features/Network/packet_for_MnD.h,14029,2566db7be5f12abfd80c3c4c2ee895b48b6dbfc0240b30df9a81b4273229606b,deliberately removed feature reference
removed-features/XProcess/XMnDStructInfo.h,1882,ee6d08cb19e2351b9db3ea269cd8373670c19ba1e4870275c4057bd7d89e2ceb,deliberately removed feature reference
removed-features/XProcess/XWindow_MnDCurrentPoint.cpp,5185,7200f00bea327390601592966f3c7d591fd7e10914cb5b7c09dc20b84aec6fe5,deliberately removed feature reference
removed-features/XProcess/XWindow_MnDCurrentPoint.h,1242,9ff06d9d76da2ba4a6a1a9ae87055cd2b2e0033343f80a595e32ed56002cbb0c,deliberately removed feature reference
removed-features/XProcess/XWindow_MnDGroup.cpp,54277,be73953ee2344ed6b0dbb59aa52ff4e0a91e0797a115cc372c5aa88381fe0548,deliberately removed feature reference
removed-features/XProcess/XWindow_MnDGroup.h,3116,aa57483a280bf145e6ecb4ff5b319a9dc0bb380f02d20800cc83ccc9b8613d29,deliberately removed feature reference
removed-features/XProcess/XWindow_MnDTotalPoint.cpp,5164,6d2a781d89b730517ce600ba93be695e3dcf6f148c8ab3c4a4e68ac546734a18,deliberately removed feature reference
removed-features/XProcess/XWindow_MnDTotalPoint.h,1225,f66a3931c26f658158ad623ef1439f5f730cdec7ddd558a8fc243b3be4ab2303,deliberately removed feature reference
removed-features/XProcess/XWindow_NPCMnDInfo.cpp,12618,f66f9d8c6505cf5d5abff14925b12a558770ea1f07acc36e552af800195bd1e5,deliberately removed feature reference
removed-features/XProcess/XWindow_NPCMnDInfo.h,951,081b632f9f79c0c77826c5699cd2447d2e5cfd514b0c05e4f0dc23bee086c394,deliberately removed feature reference
removed-features/XProcess/XWindow_TargetInfoSelect.cpp,3562,49c0c5b85bf402127b5b9bd464e5cf1dcf8e0a6c2dd9ca62b8b0194b0269a32f,deliberately removed feature reference
removed-features/XProcess/XWindow_TargetInfoSelect.h,884,329c73f0a84e6195d6985d5ec1734901da45af61befe9a93f255a98df048eee0,deliberately removed feature reference
