definition_file,definition_line,method,definition_parameter_count,definition_parameters,definition_const,header_declaration_count,matching_arity_and_const,header_candidate_parameters
XProc_MainGame.cpp,530,XProc_MainGame,0,,no,1,yes,
XProc_MainGame.cpp,635,LoadInformationString,0,void,no,1,yes,void
XProc_MainGame.cpp,722,InitializeProcess,0,void,no,1,yes,void
XProc_MainGame.cpp,2060,SetUIforRubiconADSystem,0,void,no,1,yes,void
XProc_MainGame.cpp,2304,ProcessPCRoomConnectNotice,0,void,no,1,yes,void
XProc_MainGame.cpp,2334,ProcessBgmTimer,0,void,no,1,yes,void
XProc_MainGame.cpp,2348,SetSpecialBGMPlay,2,"LPTSTR filename, BOOL loop ) #else void XProc_MainGame::SetSpecialBGMPlay( LPTSTR filename ) #endif { g_BgmPlayFlag = FALSE; #ifdef _XDEF_NEWSPECIALBGMPROCESS_071123_KERYGMA m_PreviousBGMPlayFlag = g_BgmPlayFlag; m_SpecialBGMLoopPlayFlag = loop; #endif _XWindow_Option* optionwindow = (_XWindow_Option*)g_MainWindowManager.FindWindow( _XDEF_WTITLE_OPTION ); if( optionwindow",no,2,yes,"LPTSTR filename, BOOL loop = FALSE | LPTSTR filename"
XProc_MainGame.cpp,2398,StopSpecialBGMPlay,0,void,no,1,yes,void
XProc_MainGame.cpp,2407,ProcessChangeBgm,0,void,no,1,yes,void
XProc_MainGame.cpp,2638,SendSignal_ProcessStop,0,void,no,1,yes,void
XProc_MainGame.cpp,2649,ProcessLocalUserDie,0,void,no,1,yes,void
XProc_MainGame.cpp,2708,Process_ProcessStop,0,void,no,1,yes,void
XProc_MainGame.cpp,2777,Process_GameExit,0,void,no,1,yes,void
XProc_MainGame.cpp,2849,OnMCINotify,3,"UINT message, WPARAM wparam, LPARAM lparam",no,1,yes,"UINT message, WPARAM wparam, LPARAM lparam"
XProc_MainGame.cpp,2853,OnWindowSizeChangeNotify,0,void,no,1,yes,void
XProc_MainGame.cpp,2911,DestroyProcess,0,void,no,1,yes,void
XProc_MainGame.cpp,3305,InitDeviceObject,0,void,no,1,yes,void
XProc_MainGame.cpp,3341,ReleaseDeviceObject,0,void,no,1,yes,void
XProc_MainGame.cpp,3348,PauseProcess,0,void,no,1,yes,void
XProc_MainGame.cpp,3353,UnPauseProcess,0,void,no,1,yes,void
XProc_MainGame.cpp,3358,Draw,0,void,no,1,yes,void
XProc_MainGame.cpp,5543,OnPaint,2,"WPARAM wparam, LPARAM lparam",no,1,yes,"WPARAM wparam, LPARAM lparam"
XProc_MainGame.cpp,5548,DrawPickedObjectInfoTooltip,0,void,no,1,yes,void
XProc_MainGame.cpp,5626,Process,0,void,no,1,yes,void
XProc_MainGame.cpp,6889,DrawInterface,0,void,no,1,yes,void
XProc_MainGame.cpp,7320,ProcessInformationSystem,0,void,no,1,yes,void
XProc_MainGame.cpp,7442,ProcessInterface,0,void,no,1,yes,void
XProc_MainGame.cpp,7615,StartNPCScript,0,void,no,1,yes,void
XProc_MainGame.cpp,7766,StartFunctionalObjectScript,0,void,no,1,yes,void
XProc_MainGame.cpp,7813,SetMovetoMousePickedPoint,0,void,no,1,yes,void
XProc_MainGame.cpp,7891,LoadTerrain,1,LPSTR Filename,no,1,yes,LPSTR Filename
XProc_MainGame.cpp,7907,InitializeRenderState,0,void,no,1,yes,void
XProc_MainGame.cpp,7982,InitializeLight,0,void,no,1,yes,void
XProc_MainGame.cpp,7992,DrawDebugState,0,void,no,1,yes,void
XProc_MainGame.cpp,8103,GetVectorFromMousePos,3,"POINT& pt, D3DXVECTOR3& raydir, D3DXVECTOR3& rayorg",no,1,yes,"POINT& pt, D3DXVECTOR3& raydir, D3DXVECTOR3& rayorg"
XProc_MainGame.cpp,8124,GetMousePosition,0,void,no,1,yes,void
XProc_MainGame.cpp,8147,MessageProc,3,"UINT message, WPARAM wparam, LPARAM lparam",no,1,yes,"UINT message, WPARAM wparam, LPARAM lparam"
XProc_MainGame.cpp,10234,OnKeyboardPoll,1,_XInput *pInput,no,1,yes,_XInput *pInput
XProc_MainGame.cpp,10394,OnKeyUp,2,"WPARAM wparam, LPARAM lparam",no,1,yes,"WPARAM wparam, LPARAM lparam"
XProc_MainGame.cpp,11267,OnKeyDown,2,"WPARAM wparam, LPARAM lparam",no,1,yes,"WPARAM wparam, LPARAM lparam"
XProc_MainGame.cpp,14481,OnMousePoll,2,"MouseState *pState, ScrnPos *pPos",no,1,yes,"MouseState *pState, ScrnPos *pPos"
XProc_MainGame.cpp,14559,OnMouseButton,2,"_XMouseButton p_MB, bool bPushed",no,1,yes,"_XMouseButton p_MB, bool bPushed"
XProc_MainGame.cpp,14690,OnMouseWheel,1,short zDelta,no,1,yes,short zDelta
XProc_MainGame.cpp,14717,OnMouseLBtnDblClick,1,WPARAM wparam,no,1,yes,WPARAM wparam
XProc_MainGame.cpp,14943,OnMouseRBtnDblClick,1,WPARAM wparam,no,1,yes,WPARAM wparam
XProc_MainGame.cpp,14999,OnMouseMBtnDblClick,1,WPARAM wparam,no,1,yes,WPARAM wparam
XProc_MainGame.cpp,15004,OnUserMessage_Socket,3,"UINT message, WPARAM wparam, LPARAM lparam",no,1,yes,"UINT message, WPARAM wparam, LPARAM lparam"
XProc_MainGame.cpp,15104,OnUserMessage_MessengerSocket,3,"UINT message, WPARAM wparam, LPARAM lparam",no,1,yes,"UINT message, WPARAM wparam, LPARAM lparam"
XProc_MainGame.cpp,15158,ProcRenderStateCommand,1,LPSTR commandstring,no,1,yes,LPSTR commandstring
XProc_MainGame.cpp,15165,DrawFadeInOut,0,void,no,1,yes,void
XProc_MainGame.cpp,15197,CheckTextureUseHitrate,0,void,no,1,yes,void
XProc_MainGame.cpp,15281,DrawQuestWideView,0,void,no,1,yes,void
XProc_MainGame.cpp,15326,RepositionTopBottomVertex,0,void,no,1,yes,void
XProc_MainGame.cpp,15335,SelectSkill,2,"short skillid, BOOL keydown",no,1,yes,"short skillid, BOOL keydown = TRUE"
XProc_MainGame.cpp,15662,ChangeToActive,1,short skillid,no,1,yes,short skillid
XProc_MainGame.cpp,15775,ChangeToChanneling,2,"short skillid, BOOL keydown",no,1,yes,"short skillid, BOOL keydown"
XProc_MainGame.cpp,15844,ChangeToHiddenMA,2,"short skillid, BOOL keydown",no,1,yes,"short skillid, BOOL keydown"
XProc_MainGame.cpp,15877,ChangeToOther,2,"short skillid, BOOL keydown",no,1,yes,"short skillid, BOOL keydown"
