github_path,category,dependency_partition,size,sha256,archive_identical_elsewhere,archive_same_basename_elsewhere,included_by_count,included_by
audio_sdk/asorg/include/AudioLib/vssver.scc,resource/config/other,unclassified/non-code,256,b92c001de3192eb199c5633abdaddae3ded7eabd7f86e0117bc7ffb52758b291,,MeshControl/vssver.scc,0,
audio_sdk/asorg/include/AudioScript/vssver.scc,resource/config/other,unclassified/non-code,80,662c92a4b824f9c0b52ce5f95a4d30623fc2d58b9b888ba5b8bc5af95709ae8d,,MeshControl/vssver.scc,0,
audio_sdk/asorg/include/vssver.scc,resource/config/other,unclassified/non-code,48,4b82b1eee5ba2898fbde04169311dea2daac2c6806506f503c8a128b3100c7fa,,MeshControl/vssver.scc,0,
audio_sdk/asorg/lib/vssver.scc,resource/config/other,unclassified/non-code,96,1899f063bf1b30ad873202f7d59a4f8bdcfb4ffbeb358d07c412d7f7eae24e02,,MeshControl/vssver.scc,0,
audio_sdk/asorg/src/AudioLib/AudioLib.dsw,resource/config/other,unclassified/non-code,638,1c7ecd2ea88a142aafd800c3d0f7745c80cc4b5883a79dbd1c73e89428384d52,,,0,
audio_sdk/asorg/src/AudioLib/AudioLib.ncb,generated/build artifact,unclassified/non-code,197632,2d1f833b107e0840a26ef346eb8fad0af53ebc33573b94c47372b4f96156ce02,,,0,
audio_sdk/asorg/src/AudioLib/AudioLib.opt,resource/config/other,unclassified/non-code,54784,7abcf277bb9176fc5cee5573f1cb9c1f820b5347e6e280001f58c33108ecef6d,,,0,
audio_sdk/asorg/src/AudioLib/except/vssver.scc,resource/config/other,unclassified/non-code,128,c2ee96a77bdf0ae59d9f780841ad27fcd5b0e924b9a02e51573de209b3f2e9b3,,MeshControl/vssver.scc,0,
audio_sdk/asorg/src/AudioLib/vssver.scc,resource/config/other,unclassified/non-code,736,55d39449ec1a77e89aef2dc6c787c9f90f04376f745ffe01449f5b1945b23c83,,MeshControl/vssver.scc,0,
audio_sdk/asorg/src/AudioScript/vssver.scc,resource/config/other,unclassified/non-code,336,8ee96f24435242723318c6f15b1f33bebca0e4986ed8e1be61f1b47407b2b6a3,,MeshControl/vssver.scc,0,
audio_sdk/doc/GAP Audio System/Doc/HTML - English/vssver.scc,resource/config/other,unclassified/non-code,1808,850ee40b23ecd314d84a31d8c3c5e9152f3ca0bdc7588d1a737e00fee00b6345,,MeshControl/vssver.scc,0,
audio_sdk/doc/GAP Audio System/vssver.scc,resource/config/other,unclassified/non-code,96,d42e24e05644f9e093404839bb9e5a5e6b434236a983dd63d27295b99fb97a2e,,MeshControl/vssver.scc,0,
audio_sdk/doc/vssver.scc,resource/config/other,unclassified/non-code,48,f3f5fa56b62fd291e295432acad3a2f507285df8b46b636a28f54c0d515d4a54,,MeshControl/vssver.scc,0,
audio_sdk/include/AudioLib/vssver.scc,resource/config/other,unclassified/non-code,256,5562f9482e4f069f76842bd6040f41e3fcc7405b6bde18f95fd0baa8693b0dce,,MeshControl/vssver.scc,0,
audio_sdk/include/AudioScript/vssver.scc,resource/config/other,unclassified/non-code,368,66da70dcab0ac6de6a3bd8aadb4d26166bddbb8e5735289e617921b1450ba040,,MeshControl/vssver.scc,0,
