archive_path,github_path,category,status,archive_size,github_size,archive_added_lines_vs_github,archive_removed_lines_vs_github,line_similarity,archive_mtime,archive_sha256,github_sha256
audio_sdk/asorg/include/Audio.h,audio_sdk/asorg/include/Audio.h,normal/shared source,text-identical (encoding/EOL differs),1272,1226,,,,1341402488,083ac5ce99fd36628eb9c9c73a68313f1394d9a68710f0c5aab5b6f0561a45ed,1b1431ba2e6343b83125f0e81ebdc0dc4f61a742888b5ffa09301d9aaf430370
audio_sdk/asorg/include/AudioLib/3dl2.h,audio_sdk/asorg/include/AudioLib/3dl2.h,normal/shared source,text-identical (encoding/EOL differs),9381,9183,,,,1341402489,d5ec67288e0f9b5cb2b91fb8a2aaa548e856e60cee763714dc90338692ba6906,246a0b7214ef78cf11bb3110d3740477ebbc336f98f2626c0da472584f246c47
audio_sdk/asorg/include/AudioLib/3dl2help.h,audio_sdk/asorg/include/AudioLib/3dl2help.h,normal/shared source,text-identical (encoding/EOL differs),6980,6819,,,,1341402489,b813140d1f4e08ce27fea8006e4300f494b8dcb75c459db3428cf30ef939c73d,ba728c4ad2e949589f6b6a3228a8514fd3b9a38a3cdc8e142974ab5cdfd44ad9
audio_sdk/asorg/include/AudioLib/AudioLibFactory.h,audio_sdk/asorg/include/AudioLib/AudioLibFactory.h,normal/shared source,text-identical (encoding/EOL differs),733,706,,,,1341402489,86d53a5d0c07c24fc13a41491c2ae4cd1c7a0b8f29a35bc43601a2172c3c4d90,b23d8118583248fffc613fb591f992936697269b0f06a704653b8f05d08d3b48
audio_sdk/asorg/include/AudioLib/CDPlayer.h,audio_sdk/asorg/include/AudioLib/CDPlayer.h,normal/shared source,text-identical (encoding/EOL differs),2260,2158,,,,1341402489,c3624b4b0b2ab0148db368af9265981e219d7f3996c50227deb751653c8b8928,ce148e836e7ac032fcefa4eabc7c261c757fe6d8e364e1d8c731f635609783b2
audio_sdk/asorg/include/AudioLib/Common.h,audio_sdk/asorg/include/AudioLib/Common.h,normal/shared source,text-identical (encoding/EOL differs),1149,1100,,,,1341402489,cdf78e6e194acfb3b4ffff11d841b8a2c094894f6a02fc533c07ede845c79fed,e7b884841edcb767e2bd891e8fd074f0d079dd5e61f6b1886edf4174613fc9fc
audio_sdk/asorg/include/AudioLib/Diagnostics.h,audio_sdk/asorg/include/AudioLib/Diagnostics.h,normal/shared source,text-identical (encoding/EOL differs),2174,2087,,,,1341402489,ff9854fbbabf58eb80c3093a3abd957efd381f8a8426261956dc508cf5717075,510f37e70f13f32f45a5af3509287385de0fb47e06b03d6006b6ae6863e38bf6
audio_sdk/asorg/include/AudioLib/Errors.h,audio_sdk/asorg/include/AudioLib/Errors.h,normal/shared source,text-identical (encoding/EOL differs),1728,1681,,,,1341402489,7253faa34154f2c8a4e42b6eebfed39a4b7649b9c379793549ee3ca21f42f4a1,2a1cbd62e879d5db6a61d760940cdd6cbc9f2cdf1842576cc12218ac95e2d3f4
audio_sdk/asorg/include/AudioLib/IAudio.h,audio_sdk/asorg/include/AudioLib/IAudio.h,normal/shared source,text-identical (encoding/EOL differs),51037,49574,,,,1341402489,bab2eb1a2923d013eae7230551b50fd7822f5ea9480f41c68990a4d74bd65eb2,3e4b21dd06411d6c34a907b0a0ed11129bfa3b1ed6f647d4a178d71676811164
audio_sdk/asorg/include/AudioLib/IAudioExt.h,audio_sdk/asorg/include/AudioLib/IAudioExt.h,normal/shared source,text-identical (encoding/EOL differs),829,798,,,,1341402489,6d51acda811da416e72cc554c82db20160ae091f5f498024a48aba81272238f8,4beea3e1530451f841b62511fe7eaf2ccc69ee9d380eca58bf83754e112b16f5
audio_sdk/asorg/include/AudioLib/IAudioStream.h,audio_sdk/asorg/include/AudioLib/IAudioStream.h,normal/shared source,text-identical (encoding/EOL differs),2784,2710,,,,1341402489,b8f2432ee55ed184d66d4a1370c1e119f12f74432add98aada3ab8c8ebb43ad1,3fd0f0e002b0dd158745c2519094efad3c0cc25040672354b9d83a29ffc1a11f
audio_sdk/asorg/include/AudioLib/ObjectPool.h,audio_sdk/asorg/include/AudioLib/ObjectPool.h,normal/shared source,text-identical (encoding/EOL differs),2676,2553,,,,1341402489,2f912ded36e7d295a37637e3726b646df133de5d1ccac7d5d9e95232e6ee0a2f,5206cc60dff973c3e4dcd17eb4d20660e7549b60b829a16b4532a61ec0f4895d
audio_sdk/asorg/include/AudioLib/Types.h,audio_sdk/asorg/include/AudioLib/Types.h,normal/shared source,text-identical (encoding/EOL differs),945,914,,,,1341402489,080a6e130b174c47bbbb739d961133f597aea472f4343428e1855034cbd996ef,54f2e7e9be602bd47a1349006df8a707167e869bc3feba3058068b69d6f234cb
audio_sdk/asorg/include/AudioLib/Utilities.h,audio_sdk/asorg/include/AudioLib/Utilities.h,normal/shared source,text-identical (encoding/EOL differs),4536,4366,,,,1341402489,2db4d6052f2b1d87f2a9434fdb42f015e2463cb20b79731f449d3363b07d323a,8ea93e26af1de2f77e52ff31d30245220f738820f7a903575d043625dfab0e37
audio_sdk/asorg/include/AudioLib/XAudioPackage.h,audio_sdk/asorg/include/AudioLib/XAudioPackage.h,normal/shared source,text-identical (encoding/EOL differs),2291,2179,,,,1341402489,a08293723f5831345644029e1e77f4884011e14658d7c9df68ce41ee08109cfb,c7275fe637f8031e4545c34982a9d3f837f41ba32f02977dddb0959418a9de8f
audio_sdk/asorg/include/AudioScript/AudioScriptFactory.h,audio_sdk/asorg/include/AudioScript/AudioScriptFactory.h,normal/shared source,text-identical (encoding/EOL differs),806,777,,,,1341402489,ce643850db146d8a826fc02459b1d5d3093d4b504d74a72a83a996e7c587d9eb,8486e1068a939f2b9aaa0e827e470e4fdcac424be827e5a86d2bf88e847de076
audio_sdk/asorg/include/AudioScript/IMusic.h,audio_sdk/asorg/include/AudioScript/IMusic.h,normal/shared source,text-identical (encoding/EOL differs),3988,3867,,,,1341402489,509f1f53f752dafcddf7e37f3fbd444117ccee57c2de54e3070f61bc5e6ff7d7,c742a237df838d22805f0187aa35a1fddd11984dd40d00009fcaea124724730d
audio_sdk/asorg/include/AudioScript/ISound.h,audio_sdk/asorg/include/AudioScript/ISound.h,normal/shared source,text-identical (encoding/EOL differs),9146,8883,,,,1341402489,59f6db9c2ab77377debcfbd6dbbe365a4567cfba1d06d922a79081ac56b48f43,d4e8ad4f45672272f276c3f144a5570b0135d7bcdae9c727e7d03af9c2c9a1bd
audio_sdk/asorg/lib/AudioLib.lib,audio_sdk/asorg/lib/AudioLib.lib,resource/config/other,byte-identical,531026,531026,,,,1341402489,56117f361deb297aa763d21a76650ce46f62a6c790420c3db3628500cc24e128,56117f361deb297aa763d21a76650ce46f62a6c790420c3db3628500cc24e128
audio_sdk/asorg/lib/AudioLib_dbg.lib,audio_sdk/asorg/lib/AudioLib_dbg.lib,resource/config/other,byte-identical,2485724,2485724,,,,1341402490,8f7f9c0eb5d82fb7e47140f2478d7d69813cf8a77906573026e3cdf636a3ce91,8f7f9c0eb5d82fb7e47140f2478d7d69813cf8a77906573026e3cdf636a3ce91
audio_sdk/asorg/lib/AudioScript.lib,audio_sdk/asorg/lib/AudioScript.lib,resource/config/other,byte-identical,821304,821304,,,,1341402490,6d8d7bc027347f6cc3c9a272fec76726240031ec865b876d660f1fcbc8b57ee6,6d8d7bc027347f6cc3c9a272fec76726240031ec865b876d660f1fcbc8b57ee6
audio_sdk/asorg/lib/AudioScript_dbg.lib,audio_sdk/asorg/lib/AudioScript_dbg.lib,resource/config/other,byte-identical,3412204,3412204,,,,1341402490,6f540fcd79d80d1089905fed46f9b8927e8380e95b229f66b3369733cc6da8d1,6f540fcd79d80d1089905fed46f9b8927e8380e95b229f66b3369733cc6da8d1
